complaint_id,issue_id,submission_date,unit_type,space_type,urgency,major_category,minor_category,issue_code
4838370,9577167,11/24/2018,APARTMENT,BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OBSTRUCTED
4838370,9577169,6/23/2017,APARTMENT,BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,BASIN BROKEN/LEAKING
4838370,9577170,6/10/2017,APARTMENT,KITCHEN,NON EMERGENCY,GENERAL,CABINET,DAMAGED OR MISSING
6526869,13701640,7/7/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6530011,13710624,6/2/2017,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,FAUCET BROKEN/MISSING/LEAKING
6530011,13710627,2/4/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,MICE
6536966,13731597,3/26/2018,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,VERMIN,MICE
6536966,13731598,1/11/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6544583,13748722,11/5/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,MICE
6544583,13748723,12/1/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6544583,13748724,1/10/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,OTHER
6572225,13797139,1/27/2018,APARTMENT,KITCHEN,EMERGENCY,PLUMBING,SEWER,RAW SEWAGE ACCUMULATION
6572225,13797140,6/30/2017,APARTMENT,KITCHEN,EMERGENCY,PLUMBING,WATER-LEAKS,CONTINUOUS FROM ABOVE APT
6572225,13797143,2/16/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CRACKED
6589683,13825033,12/28/2017,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,VERMIN,MICE
6589683,13825034,11/24/2017,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6589683,13825036,8/23/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,MICE
6589683,13825037,2/8/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6589683,13825038,3/23/2018,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6599069,13843347,11/30/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,GENERAL,MAILBOX,BOX BROKEN OR MISSING
6647571,13924236,4/3/2017,APARTMENT,ENTRANCE,NON EMERGENCY,PAINT/PLASTER,DOOR/FRAME,PEELING OR FLAKING PAINT
6651617,13930054,5/21/2018,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6651617,13930056,2/16/2018,APARTMENT,PRIVATE HALLWAY,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6651617,13930057,9/12/2018,APARTMENT,BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6651617,13930058,3/18/2017,APARTMENT,BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6651617,13930059,9/12/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,DIRTY OR UNSANITARY
6660198,13944697,4/17/2017,PUBLIC AREA,PUBLIC HALL,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6674293,13971584,4/21/2017,PUBLIC AREA,PUBLIC HALL,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6677505,13977174,1/22/2018,PUBLIC AREA,BASEMENT,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6677505,13977175,5/31/2018,PUBLIC AREA,PUBLIC HALL,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6677505,13977178,11/2/2018,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,JANITOR/SUPER,NONE AVAILABLE
6677533,13977211,11/24/2017,PUBLIC AREA,BASEMENT,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6677533,13977212,12/2/2017,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6677533,13977214,3/11/2017,BUILDING,ENTIRE BUILDING,NON EMERGENCY,NONCONST,JANITOR/SUPER,NONE AVAILABLE
6678557,13978535,10/29/2018,PUBLIC AREA,FRONT AREAWAY,EMERGENCY,GENERAL,MOLD,MOLD
6678557,13978537,2/9/2017,PUBLIC AREA,FRONT AREAWAY,NON EMERGENCY,PAINT/PLASTER,WALL,CRACKED
6678557,13978541,4/5/2017,PUBLIC AREA,PUBLIC HALL STAIRS,EMERGENCY,GENERAL,MOLD,MOLD
6678557,13978544,12/22/2017,PUBLIC AREA,PUBLIC HALL STAIRS,NON EMERGENCY,PAINT/PLASTER,WALL,CRACKED
6711469,14025605,5/14/2018,APARTMENT,LIVING ROOM,NON EMERGENCY,ELECTRIC,WIRING,OUTLETS SEALED OR DEFECTIVE
6711469,14025606,1/5/2018,APARTMENT,ROOM,NON EMERGENCY,ELECTRIC,ELECTRIC-SUPPLY,NO SUPPLY TO SOME ROOMS
6718490,14039596,4/27/2017,APARTMENT,KITCHEN,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6718490,14039598,2/20/2017,APARTMENT,BATHROOM,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6719206,14041171,7/29/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6719206,14041172,6/10/2017,APARTMENT,BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,SINK DETACHED FROM WALL
6719206,14041173,11/13/2017,APARTMENT,KITCHEN,EMERGENCY,GENERAL,CABINET,FALLING OFF WALL
6719206,14041175,1/4/2018,APARTMENT,BATHROOM,EMERGENCY,GENERAL,CABINET,FALLING OFF WALL
6719206,14041176,2/26/2018,PUBLIC AREA,FRONT AREAWAY,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6719206,14041178,1/5/2017,APARTMENT,KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,SINK DETACHED FROM WALL
6727790,14058263,11/28/2018,APARTMENT,ENTIRE APARTMENT,EMERGENCY,GENERAL,WINDOWS,LOOSE/ BROKEN FRAME OR SASH
6727790,14058264,10/6/2017,PUBLIC AREA,BASEMENT,EMERGENCY,HEATING,HEAT-PLANT,BOILER INOPERATIVE / MISSING
6737315,14072619,6/7/2018,APARTMENT,KITCHEN,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6737315,14072622,2/9/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6754293,14098275,4/20/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,LIGHTING,DIMS OR FLICKERS
6754293,14098276,10/16/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,ELECTRIC-SUPPLY,NO SUPPLY TO SOME ROOMS
6759635,14107590,8/17/2017,PUBLIC AREA,PUBLIC HALL,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6775504,14135448,7/1/2018,APARTMENT,BATHROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,"MECHANICAL NOT WORKING, KITCHEN OR BATHROOM"
6775504,14135456,5/21/2018,APARTMENT,BEDROOM,NON EMERGENCY,GENERAL,FLOOR,BROKEN OR DEFECTIVE
6784673,14152944,2/9/2018,PUBLIC AREA,LOBBY,EMERGENCY,GENERAL,DOORS,BROKEN/DEFECTIVE/MISSING
6784673,14152946,8/21/2017,PUBLIC AREA,LOBBY,NON EMERGENCY,PAINT/PLASTER,WALL,DIRTY OR UNSANITARY
6784673,14152947,4/4/2018,PUBLIC AREA,LOBBY,NON EMERGENCY,PAINT/PLASTER,CEILING,CHIPPED/PEELING/FLAKING
6784673,14152948,7/1/2018,PUBLIC AREA,FRONT AREAWAY,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
